버스정류장ARS번호,승차총승객수,하차총승객수,승하차총승객수
1209,4172,3379,7551
1212,21824,17017,38841
1213,1396,1923,3319
1214,18936,19217,38153
1215,13643,15138,28781
1217,7885,11669,19554
1218,16724,27103,43827
1219,53718,73750,127468
1220,85856,103130,188986
1221,75707,27456,103163
1222,15180,10849,26029
1223,33846,13375,47221
1224,26645,47603,74248
1225,10149,11594,21743
1226,10059,9723,19782
1227,50663,54543,105206
1228,27828,40781,68609
1229,100682,47605,148287
1231,10524,18410,28934
1235,5610,6928,12538
1236,5039,5605,10644
1238,8504,10741,19245
1239,32218,13245,45463
1240,63881,14427,78308
1243,24124,61517,85641
1245,5167,5253,10420
1246,1332,9865,11197
1247,18427,26530,44957
1249,5658,7916,13574
1250,2424,5489,7913
1251,373,1195,1568
1252,3801,4675,8476
1253,3905,3133,7038
1254,3603,2925,6528
1256,7399,17003,24402
1262,20608,14228,34836
1267,5588,19030,24618
1272,16777,12991,29768
1277,1998,13829,15827
1278,64205,79754,143959
1279,7625,7023,14648
1286,2612,9585,12197
1287,25033,9972,35005
1288,15284,19650,34934
1289,14313,10557,24870
1291,1374,3076,4450
1292,4906,3584,8490
1293,4099,15532,19631
1294,6141,14195,20336
1295,23742,40650,64392
1297,3846,3633,7479
1500,11506,1814,13320
1501,6623,3242,9865
1502,10912,11302,22214
1503,7879,11266,19145
1505,33224,8802,42026
1506,4112,7624,11736
1507,1467,2671,4138
1508,400,10,410
1509,9692,23,9715
1510,12465,47,12512
1511,4182,34,4216
1512,9247,453,9700
1513,1375,138,1513
1514,505,181,686
1515,729,6,735
1516,1479,1795,3274
1517,206,66,272
1518,11892,81,11973
1519,6148,152,6300
1520,7841,51,7892
1521,15034,930,15964
1522,13,616,629
1523,1659,941,2600
1524,19102,75,19177
1525,724,34,758
1526,1769,3092,4861
1528,1250,1430,2680
1529,7173,235,7408
1530,2030,290,2320
1531,20261,226,20487
1532,6013,2835,8848
1533,38,922,960
1534,8016,2962,10978
1535,5915,57,5972
1536,8350,181,8531
1537,1548,2312,3860
1538,266,84,350
1539,2744,1899,4643
1540,6076,1316,7392
1541,1174,1950,3124
1542,9164,267,9431
1543,3257,10281,13538
1544,48,642,690
1545,4557,3383,7940
1546,2518,157,2675
1547,1883,79,1962
1548,3282,735,4017
1549,981,224,1205
1550,20938,12302,33240
1551,2303,3970,6273
1553,166,1318,1484
1554,11828,6656,18484
1555,5470,566,6036
1556,6514,782,7296
1557,3692,1978,5670
1558,695,2357,3052
1561,55,299,354
1562,1251,2216,3467
1563,2292,1943,4235
1564,3258,809,4067
1565,150,139,289
1566,1243,2911,4154
1567,50,640,690
1568,2535,6752,9287
1569,3600,6748,10348
1570,3910,3303,7213
1571,24,303,327
1572,1809,10266,12075
1573,78,402,480
1574,2306,7727,10033
1576,2502,11651,14153
1577,240,2630,2870
1578,232,7028,7260
1580,135,546,681
1581,1999,8116,10115
1582,4346,2438,6784
1583,555,2508,3063
1584,1049,3124,4173
1586,114,732,846
1587,311,1830,2141
1589,1959,5745,7704
1590,496,1234,1730
1591,203,1082,1285
1592,31586,4325,35911
1593,61,181,242
1594,1547,6473,8020
1595,2589,8323,10912
1596,6379,8605,14984
1597,179,167,346
1598,317,3325,3642
1601,6138,10844,16982
1602,6449,4550,10999
1603,8212,3389,11601
1607,109,359,468
1667,1675,2249,3924
1682,4003,12272,16275
1683,13593,10538,24131
1684,75,445,520
1685,11073,5174,16247
1698,114,239,353
1699,219,445,664
1702,4389,5626,10015
